"","Method","region","n","Trials","Parameter_Pov","Lower_Pov","Upper_Pov","Population_Pov","Parameter_Med","Lower_Med","Upper_Med","Population_Med","pov_bound","med_bound"
"1","Clu_50","NE","50",1,0.16,0.0547539,0.2652461,0.149803,5679.57,3849.52,7509.63,4728.48,0.1052461,1830.055
"2","Clu_50","NE","50",2,0.18,0.0697066,0.2902934,0.149803,4313.76,2677.76,5949.77,4728.48,0.1102934,1636.005
"3","Clu_50","NE","50",3,0.1,0.0138753,0.1861247,0.149803,5651.65,4200.71,7102.58,4728.48,0.0861247,1450.935
"4","Clu_50","NE","50",4,0.14,0.0403862,0.2396138,0.149803,4672.08,3578.99,5765.17,4728.48,0.0996138,1093.09
"5","Clu_50","NE","50",5,0.22,0.1010773,0.3389227,0.149803,5892.59,3875.8,7909.37,4728.48,0.1189227,2016.785
"6","Clu_100","NE","100",1,0.15,0.0787924,0.2212076,0.149803,5191.68,4336.29,6047.07,4728.48,0.0712076,855.39
"7","Clu_100","NE","100",2,0.07,0.0191182,0.1208818,0.149803,4820.39,3918.18,5722.6,4728.48,0.0508818,902.21
"8","Clu_100","NE","100",3,0.14,0.0708034,0.2091966,0.149803,4592.91,3808.7,5377.12,4728.48,0.0691966,784.21
"9","Clu_100","NE","100",4,0.11,0.0476031,0.1723969,0.149803,4650.54,3820.88,5480.2,4728.48,0.0623969,829.66
"10","Clu_100","NE","100",5,0.19,0.1117668,0.2682332,0.149803,4676.86,3770.05,5583.66,4728.48,0.0782332,906.805
"11","Clu_1000","NE","1000",1,0.142,0.120329,0.163671,0.149803,5277.11,4935.78,5618.44,4728.48,0.021671,341.33
"12","Clu_1000","NE","1000",2,0.147,0.1250151,0.1689849,0.149803,5190.44,4880.16,5500.71,4728.48,0.0219849,310.275
"13","Clu_1000","NE","1000",3,0.146,0.1240771,0.1679229,0.149803,5177.49,4833.33,5521.66,4728.48,0.0219229,344.165
"14","Clu_1000","NE","1000",4,0.13,0.1091204,0.1508796,0.149803,4998.58,4590.05,5407.12,4728.48,0.0208796,408.535
"15","Clu_1000","NE","1000",5,0.119,0.0988974,0.1391026,0.149803,5116.78,4756.67,5476.89,4728.48,0.0201026,360.11
"16","Clu_O","NE","783",1,0.1455939,0.1208356,0.1703522,0.149803,5425.57,4629.93,6221.21,4728.48,0.0247583,795.64
"17","Clu_O","NE","783",2,0.1289911,0.1054618,0.1525203,0.149803,5036.6,4698.51,5374.7,4728.48,0.02352925,338.095
"18","Clu_O","NE","783",3,0.1430396,0.1184628,0.1676164,0.149803,5555.36,4741.5,6369.23,4728.48,0.0245768,813.865
"19","Clu_O","NE","783",4,0.1340996,0.1101794,0.1580198,0.149803,5369.22,4721.12,6017.32,4728.48,0.0239202,648.1
"20","Clu_O","NE","783",5,0.1302682,0.1066401,0.1538963,0.149803,4970.67,4621.35,5319.99,4728.48,0.0236281,349.32
"21","Clu_50","MW","50",1,0.06,-0.0081782,0.1281782,0.149803,4591.83,3124.76,6058.9,4728.48,0.0681782,1467.07
"22","Clu_50","MW","50",2,0.08,0.0021166,0.1578834,0.149803,4238.18,3001.33,5475.03,4728.48,0.0778834,1236.85
"23","Clu_50","MW","50",3,0.1,0.0138753,0.1861247,0.149803,4509.47,3472.72,5546.22,4728.48,0.0861247,1036.75
"24","Clu_50","MW","50",4,0.16,0.0547539,0.2652461,0.149803,4977.76,3714.31,6241.21,4728.48,0.1052461,1263.45
"25","Clu_50","MW","50",5,0.14,0.0403862,0.2396138,0.149803,3575.8,2552.97,4598.62,4728.48,0.0996138,1022.825
"26","Clu_100","MW","100",1,0.17,0.0950908,0.2449092,0.149803,4428.58,3572.49,5284.67,4728.48,0.0749092,856.09
"27","Clu_100","MW","100",2,0.12,0.0551957,0.1848043,0.149803,4631.94,3670.78,5593.1,4728.48,0.0648043,961.16
"28","Clu_100","MW","100",3,0.2,0.1202315,0.2797685,0.149803,4116.91,3412.62,4821.19,4728.48,0.0797685,704.285
"29","Clu_100","MW","100",4,0.08,0.0258984,0.1341016,0.149803,4942.54,4088,5797.08,4728.48,0.0541016,854.54
"30","Clu_100","MW","100",5,0.11,0.0476031,0.1723969,0.149803,4358.72,3576.82,5140.61,4728.48,0.0623969,781.895
"31","Clu_1000","MW","1000",1,0.144,0.1222023,0.1657977,0.149803,4753.54,4371.72,5135.37,4728.48,0.0217977,381.825
"32","Clu_1000","MW","1000",2,0.132,0.1109846,0.1530154,0.149803,4995.3,4672.02,5318.57,4728.48,0.0210154,323.275
"33","Clu_1000","MW","1000",3,0.136,0.1147177,0.1572823,0.149803,4477.46,4204.61,4750.3,4728.48,0.0212823,272.845
"34","Clu_1000","MW","1000",4,0.15,0.127831,0.172169,0.149803,4779.76,4437.15,5122.37,4728.48,0.022169,342.61
"35","Clu_1000","MW","1000",5,0.143,0.1212655,0.1647345,0.149803,4486.6,4204.96,4768.24,4728.48,0.0217345,281.64
"36","Clu_O","MW","783",1,0.1443167,0.1196488,0.1689846,0.149803,4553.76,4202.38,4905.15,4728.48,0.0246679,351.385
"37","Clu_O","MW","783",2,0.1455939,0.1208356,0.1703522,0.149803,4781.33,4407.94,5154.72,4728.48,0.0247583,373.39
"38","Clu_O","MW","783",3,0.1289911,0.1054618,0.1525203,0.149803,4535.19,4194.12,4876.25,4728.48,0.02352925,341.065
"39","Clu_O","MW","783",4,0.137931,0.1137252,0.1621368,0.149803,4751.78,4365.49,5138.08,4728.48,0.0242058,386.295
"40","Clu_O","MW","783",5,0.1328225,0.1089989,0.1566461,0.149803,4829.13,4462.23,5196.04,4728.48,0.0238236,366.905
"41","Clu_50","S","50",1,0.06,-0.0081782,0.1281782,0.149803,4546.67,3411.06,5682.27,4728.48,0.0681782,1135.605
"42","Clu_50","S","50",2,0.16,0.0547539,0.2652461,0.149803,4361.51,3126.51,5596.51,4728.48,0.1052461,1235
"43","Clu_50","S","50",3,0.12,0.0267093,0.2132907,0.149803,4554.56,2942.85,6166.28,4728.48,0.0932907,1611.715
"44","Clu_50","S","50",4,0.24,0.117392,0.362608,0.149803,3932.43,2887.1,4977.77,4728.48,0.122608,1045.335
"45","Clu_50","S","50",5,0.22,0.1010773,0.3389227,0.149803,4339.9,3011.88,5667.92,4728.48,0.1189227,1328.02
"46","Clu_100","S","100",1,0.13,0.0629339,0.1970661,0.149803,5193.26,3511.01,6875.51,4728.48,0.0670661,1682.25
"47","Clu_100","S","100",2,0.19,0.1117668,0.2682332,0.149803,4501.8,3465.95,5537.65,4728.48,0.0782332,1035.85
"48","Clu_100","S","100",3,0.15,0.0787924,0.2212076,0.149803,3960.52,3067.64,4853.41,4728.48,0.0712076,892.885
"49","Clu_100","S","100",4,0.09,0.0329293,0.1470707,0.149803,4502.29,3764.19,5240.39,4728.48,0.0570707,738.1
"50","Clu_100","S","100",5,0.2,0.1202315,0.2797685,0.149803,5255.17,4231.16,6279.18,4728.48,0.0797685,1024.01
"51","Clu_1000","S","1000",1,0.159,0.1362967,0.1817033,0.149803,4375.93,4084.93,4666.93,4728.48,0.0227033,291
"52","Clu_1000","S","1000",2,0.148,0.1259534,0.1700466,0.149803,4562.3,4222.28,4902.33,4728.48,0.0220466,340.025
"53","Clu_1000","S","1000",3,0.164,0.1410112,0.1869888,0.149803,4740.55,4388.87,5092.24,4728.48,0.0229888,351.685
"54","Clu_1000","S","1000",4,0.136,0.1147177,0.1572823,0.149803,4499.04,4235.53,4762.55,4728.48,0.0212823,263.51
"55","Clu_1000","S","1000",5,0.156,0.1334719,0.1785281,0.149803,4699.58,4397.51,5001.65,4728.48,0.0225281,302.07
"56","Clu_O","S","783",1,0.1609195,0.1351252,0.1867138,0.149803,4562.84,4167.56,4958.11,4728.48,0.0257943,395.275
"57","Clu_O","S","783",2,0.1430396,0.1184628,0.1676164,0.149803,4455.84,4154.02,4757.66,4728.48,0.0245768,301.82
"58","Clu_O","S","783",3,0.1596424,0.1339311,0.1853537,0.149803,4717.5,4363.32,5071.68,4728.48,0.0257113,354.18
"59","Clu_O","S","783",4,0.1583653,0.1327376,0.1839929,0.149803,4856.09,4512.54,5199.63,4728.48,0.02562765,343.545
"60","Clu_O","S","783",5,0.1685824,0.1423019,0.1948628,0.149803,4743.17,4392.2,5094.14,4728.48,0.02628045,350.97
"61","Clu_50","W","50",1,0.16,0.0547539,0.2652461,0.149803,4271.56,3178.2,5364.92,4728.48,0.1052461,1093.36
"62","Clu_50","W","50",2,0.24,0.117392,0.362608,0.149803,4448.05,3415.46,5480.64,4728.48,0.122608,1032.59
"63","Clu_50","W","50",3,0.12,0.0267093,0.2132907,0.149803,3764.14,2644.31,4883.97,4728.48,0.0932907,1119.83
"64","Clu_50","W","50",4,0.18,0.0697066,0.2902934,0.149803,4460.15,3352.78,5567.52,4728.48,0.1102934,1107.37
"65","Clu_50","W","50",5,0.22,0.1010773,0.3389227,0.149803,5533.1,4006.23,7059.97,4728.48,0.1189227,1526.87
"66","Clu_100","W","100",1,0.22,0.1373905,0.3026095,0.149803,4079.52,3217.26,4941.78,4728.48,0.0826095,862.26
"67","Clu_100","W","100",2,0.13,0.0629339,0.1970661,0.149803,4525.96,3366.68,5685.23,4728.48,0.0670661,1159.275
"68","Clu_100","W","100",3,0.16,0.0868909,0.2331091,0.149803,5169.79,4243.52,6096.05,4728.48,0.0731091,926.265
"69","Clu_100","W","100",4,0.15,0.0787924,0.2212076,0.149803,5131.42,4409.9,5852.94,4728.48,0.0712076,721.52
"70","Clu_100","W","100",5,0.17,0.0950908,0.2449092,0.149803,5215.9,3549.85,6881.95,4728.48,0.0749092,1666.05
"71","Clu_1000","W","1000",1,0.186,0.161842,0.210158,0.149803,5113.61,4590.79,5636.42,4728.48,0.024158,522.815
"72","Clu_1000","W","1000",2,0.161,0.1381816,0.1838184,0.149803,4942.15,4569.74,5314.57,4728.48,0.0228184,372.415
"73","Clu_1000","W","1000",3,0.166,0.1428991,0.1891009,0.149803,4910.51,4299.18,5521.83,4728.48,0.0231009,611.325
"74","Clu_1000","W","1000",4,0.168,0.1447882,0.1912118,0.149803,4791.79,4448.48,5135.09,4728.48,0.0232118,343.305
"75","Clu_1000","W","1000",5,0.167,0.1438435,0.1901565,0.149803,4682.27,4387.76,4976.79,4728.48,0.0231565,294.515
"76","Clu_O","W","783",1,0.1724138,0.1458977,0.1989299,0.149803,4984.04,4565.39,5402.68,4728.48,0.0265161,418.645
"77","Clu_O","W","783",2,0.1992337,0.1711954,0.227272,0.149803,4390.23,4077.4,4703.07,4728.48,0.0280383,312.835
"78","Clu_O","W","783",3,0.1685824,0.1423019,0.1948628,0.149803,4820.03,4421.68,5218.38,4728.48,0.02628045,398.35
"79","Clu_O","W","783",4,0.1736909,0.1470973,0.2002845,0.149803,4469.23,4141.95,4796.51,4728.48,0.0265936,327.28
"80","Clu_O","W","783",5,0.1634738,0.1375152,0.1894324,0.149803,4772.73,4404.41,5141.05,4728.48,0.0259586,368.32
