"","Method","n","Trials","Parameter_Pov","Lower_Pov","Upper_Pov","Population_Pov","Parameter_Med","Lower_Med","Upper_Med","Population_Med","pov_bound","med_bound"
"1","st_Snap","50",1,0.06,-0.0081782,0.1281782,0.149803,5144.74,3734.67,6554.8,4728.48,0.0681782,1410.065
"2","st_Snap","50",2,0.06,-0.0081782,0.1281782,0.149803,4921.81,3728.83,6114.79,4728.48,0.0681782,1192.98
"3","st_Snap","50",3,0.1,0.0138753,0.1861247,0.149803,4237.38,3127.55,5347.22,4728.48,0.0861247,1109.835
"4","st_Snap","50",4,0.12,0.0267093,0.2132907,0.149803,4852.9,3752.13,5953.67,4728.48,0.0932907,1100.77
"5","st_Snap","50",5,0.22,0.1010773,0.3389227,0.149803,3957.11,2777.69,5136.54,4728.48,0.1189227,1179.425
"6","st_Snap","100",1,0.14,0.0708034,0.2091966,0.149803,4589.86,3613.31,5566.41,4728.48,0.0691966,976.55
"7","st_Snap","100",2,0.15,0.0787924,0.2212076,0.149803,4942.28,3717.32,6167.24,4728.48,0.0712076,1224.96
"8","st_Snap","100",3,0.17,0.0950908,0.2449092,0.149803,4071.07,3136.65,5005.5,4728.48,0.0749092,934.425
"9","st_Snap","100",4,0.16,0.0868909,0.2331091,0.149803,5214.19,3966.9,6461.49,4728.48,0.0731091,1247.295
"10","st_Snap","100",5,0.14,0.0708034,0.2091966,0.149803,4527.16,3707.69,5346.62,4728.48,0.0691966,819.465
"11","st_Snap","1000",1,0.131,0.1100523,0.1519477,0.149803,4768.19,4454.87,5081.51,4728.48,0.0209477,313.32
"12","st_Snap","1000",2,0.148,0.1259534,0.1700466,0.149803,4719.58,4406.85,5032.31,4728.48,0.0220466,312.73
"13","st_Snap","1000",3,0.147,0.1250151,0.1689849,0.149803,4899.87,4407.81,5391.93,4728.48,0.0219849,492.06
"14","st_Snap","1000",4,0.146,0.1240771,0.1679229,0.149803,4784.2,4411.72,5156.67,4728.48,0.0219229,372.475
"15","st_Snap","1000",5,0.14,0.1184571,0.1615429,0.149803,5061.08,4740.86,5381.3,4728.48,0.0215429,320.22
"16","st_Snap","5000",1,0.1454,0.1356259,0.1551741,0.149803,4845.33,4648.19,5042.47,4728.48,0.00977410000000001,197.14
"17","st_Snap","5000",2,0.1488,0.138932,0.158668,0.149803,4613.41,4482.9,4743.93,4728.48,0.009868,130.515
"18","st_Snap","5000",3,0.1466,0.1367926,0.1564074,0.149803,4693.25,4554.26,4832.24,4728.48,0.00980740000000001,138.99
"19","st_Snap","5000",4,0.1456,0.1358204,0.1553796,0.149803,4739.39,4590.06,4888.72,4728.48,0.0097796,149.33
"20","st_Snap","5000",5,0.1404,0.1307674,0.1500326,0.149803,4899.93,4676.16,5123.69,4728.48,0.00963259999999999,223.765
"21","st_Snap","733",1,0.1282401,0.1039784,0.1525018,0.149803,4907.12,4276.61,5537.63,4728.48,0.0242617,630.51
"22","st_Snap","733",2,0.1296044,0.105233,0.1539757,0.149803,4880.12,4463.34,5296.9,4728.48,0.02437135,416.78
"23","st_Snap","733",3,0.154161,0.1279585,0.1803635,0.149803,4470.29,4159.42,4781.17,4728.48,0.0262025,310.875
"24","st_Snap","733",4,0.1459754,0.120355,0.1715959,0.149803,4851.8,4201.64,5501.96,4728.48,0.02562045,650.16
"25","st_Snap","733",5,0.1255116,0.1014718,0.1495514,0.149803,4930.73,4538.09,5323.37,4728.48,0.0240398,392.64
"26","st_Adult","50",1,0.2,0.0851671,0.3148329,0.149803,3981.41,2823.19,5139.62,4728.48,0.1148329,1158.215
"27","st_Adult","50",2,0.08,0.0021166,0.1578834,0.149803,4435.94,3420.42,5451.46,4728.48,0.0778834,1015.52
"28","st_Adult","50",3,0.08,0.0021166,0.1578834,0.149803,5030.92,3151.98,6909.86,4728.48,0.0778834,1878.94
"29","st_Adult","50",4,0.26,0.1340759,0.3859241,0.149803,4358.03,3177.06,5539,4728.48,0.1259241,1180.97
"30","st_Adult","50",5,0.12,0.0267093,0.2132907,0.149803,4585.93,3600.56,5571.3,4728.48,0.0932907,985.37
"31","st_Adult","100",1,0.13,0.0629339,0.1970661,0.149803,4399.38,3440.28,5358.47,4728.48,0.0670661,959.095
"32","st_Adult","100",2,0.09,0.0329293,0.1470707,0.149803,4604.9,3825.97,5383.82,4728.48,0.0570707,778.925
"33","st_Adult","100",3,0.13,0.0629339,0.1970661,0.149803,4065.99,3171.55,4960.42,4728.48,0.0670661,894.435
"34","st_Adult","100",4,0.14,0.0708034,0.2091966,0.149803,4533.71,3733.04,5334.38,4728.48,0.0691966,800.67
"35","st_Adult","100",5,0.1,0.0401736,0.1598264,0.149803,4391.83,3612.68,5170.97,4728.48,0.0598264,779.145
"36","st_Adult","1000",1,0.158,0.1353548,0.1806452,0.149803,4493.27,4190,4796.53,4728.48,0.0226452,303.265
"37","st_Adult","1000",2,0.142,0.120329,0.163671,0.149803,4741.53,4447.14,5035.93,4728.48,0.021671,294.395
"38","st_Adult","1000",3,0.154,0.1315902,0.1764098,0.149803,4522.16,4232.13,4812.2,4728.48,0.0224098,290.035
"39","st_Adult","1000",4,0.144,0.1222023,0.1657977,0.149803,4678.19,4369.67,4986.7,4728.48,0.0217977,308.515
"40","st_Adult","1000",5,0.138,0.1165866,0.1594134,0.149803,4713.07,4420.86,5005.28,4728.48,0.0214134,292.21
"41","st_Adult","5000",1,0.1502,0.1402938,0.1601062,0.149803,4622.55,4483.37,4761.73,4728.48,0.0099062,139.18
"42","st_Adult","5000",2,0.1502,0.1402938,0.1601062,0.149803,4665.64,4518.98,4812.29,4728.48,0.0099062,146.655
"43","st_Adult","5000",3,0.1442,0.1344595,0.1539405,0.149803,4774.45,4612.74,4936.16,4728.48,0.0097405,161.71
"44","st_Adult","5000",4,0.1418,0.1321274,0.1514726,0.149803,4704.02,4571.79,4836.25,4728.48,0.0096726,132.23
"45","st_Adult","5000",5,0.1498,0.1399047,0.1596953,0.149803,4746.34,4562.56,4930.13,4728.48,0.00989530000000001,183.785
"46","st_Adult","705",1,0.141844,0.1160275,0.1676605,0.149803,4506.62,4181.9,4831.34,4728.48,0.0258165,324.72
"47","st_Adult","705",2,0.1716312,0.1437303,0.1995322,0.149803,5064.46,4654.39,5474.53,4728.48,0.02790095,410.07
"48","st_Adult","705",3,0.1390071,0.1134078,0.1646063,0.149803,4324.83,4001.95,4647.71,4728.48,0.02559925,322.88
"49","st_Adult","705",4,0.1475177,0.1212771,0.1737583,0.149803,4922.69,4569.02,5276.35,4728.48,0.0262406,353.665
"50","st_Adult","705",5,0.1588652,0.1318159,0.1859146,0.149803,4729.77,4382.1,5077.45,4728.48,0.02704935,347.675
"51","st_Mort","50",1,0.14,0.0403862,0.2396138,0.149803,4986.13,3232.08,6740.19,4728.48,0.0996138,1754.055
"52","st_Mort","50",2,0.22,0.1010773,0.3389227,0.149803,4284.89,2924.14,5645.64,4728.48,0.1189227,1360.75
"53","st_Mort","50",3,0.16,0.0547539,0.2652461,0.149803,4379.17,3386.32,5372.02,4728.48,0.1052461,992.85
"54","st_Mort","50",4,0.18,0.0697066,0.2902934,0.149803,5028.88,3913.04,6144.72,4728.48,0.1102934,1115.84
"55","st_Mort","50",5,0.12,0.0267093,0.2132907,0.149803,4399.28,3159.08,5639.49,4728.48,0.0932907,1240.205
"56","st_Mort","100",1,0.21,0.1287741,0.2912259,0.149803,4577.56,3691.53,5463.59,4728.48,0.0812259,886.03
"57","st_Mort","100",2,0.12,0.0551957,0.1848043,0.149803,4118.06,3339.26,4896.86,4728.48,0.0648043,778.8
"58","st_Mort","100",3,0.16,0.0868909,0.2331091,0.149803,4020.31,3218.12,4822.5,4728.48,0.0731091,802.19
"59","st_Mort","100",4,0.14,0.0708034,0.2091966,0.149803,3553.57,2895.43,4211.72,4728.48,0.0691966,658.145
"60","st_Mort","100",5,0.17,0.0950908,0.2449092,0.149803,4798.74,3100.83,6496.65,4728.48,0.0749092,1697.91
"61","st_Mort","1000",1,0.173,0.1495162,0.1964838,0.149803,4564.51,4273.29,4855.73,4728.48,0.0234838,291.22
"62","st_Mort","1000",2,0.151,0.1287703,0.1732297,0.149803,4965.35,4435.91,5494.78,4728.48,0.0222297,529.435
"63","st_Mort","1000",3,0.134,0.1128504,0.1551496,0.149803,4740.99,4396.38,5085.61,4728.48,0.0211496,344.615
"64","st_Mort","1000",4,0.148,0.1259534,0.1700466,0.149803,4999.2,4310.3,5688.1,4728.48,0.0220466,688.9
"65","st_Mort","1000",5,0.156,0.1334719,0.1785281,0.149803,4609.87,4248.84,4970.89,4728.48,0.0225281,361.025
"66","st_Mort","5000",1,0.1472,0.137376,0.157024,0.149803,4723.02,4583.06,4862.98,4728.48,0.009824,139.96
"67","st_Mort","5000",2,0.1498,0.1399047,0.1596953,0.149803,4773.01,4625.94,4920.09,4728.48,0.00989530000000001,147.075
"68","st_Mort","5000",3,0.1476,0.1377649,0.1574351,0.149803,5020.44,4577.43,5463.45,4728.48,0.0098351,443.01
"69","st_Mort","5000",4,0.1474,0.1375705,0.1572295,0.149803,4729.82,4581.3,4878.34,4728.48,0.00982949999999999,148.52
"70","st_Mort","5000",5,0.1492,0.1393211,0.1590789,0.149803,4640.49,4475.38,4805.6,4728.48,0.0098789,165.11
"71","st_Mort","719",1,0.162726,0.1356814,0.1897706,0.149803,4945.62,4152.51,5738.74,4728.48,0.0270446,793.115
"72","st_Mort","719",2,0.1265647,0.1022039,0.1509254,0.149803,4768.14,4421.69,5114.59,4728.48,0.02436075,346.45
"73","st_Mort","719",3,0.1682893,0.1408778,0.1957008,0.149803,4709.53,4362.89,5056.18,4728.48,0.0274115,346.645
"74","st_Mort","719",4,0.1460362,0.1201619,0.1719105,0.149803,4622.08,4289.75,4954.41,4728.48,0.0258743,332.33
"75","st_Mort","719",5,0.132128,0.107317,0.1569389,0.149803,4541.84,4224.46,4859.23,4728.48,0.02481095,317.385
"76","st_all","50",1,0.2,0.0851671,0.3148329,0.149803,4533.01,3295.31,5770.7,4728.48,0.1148329,1237.695
"77","st_all","50",2,0.18,0.0697066,0.2902934,0.149803,4799.84,3658.69,5940.99,4728.48,0.1102934,1141.15
"78","st_all","50",3,0.24,0.117392,0.362608,0.149803,5195.06,3655.2,6734.93,4728.48,0.122608,1539.865
"79","st_all","50",4,0.16,0.0547539,0.2652461,0.149803,3231.4,2384.51,4078.29,4728.48,0.1052461,846.89
"80","st_all","50",5,0.16,0.0547539,0.2652461,0.149803,5706.98,3689.45,7724.5,4728.48,0.1052461,2017.525
"81","st_all","100",1,0.17,0.0950908,0.2449092,0.149803,5134.51,4078.68,6190.34,4728.48,0.0749092,1055.83
"82","st_all","100",2,0.13,0.0629339,0.1970661,0.149803,4870.95,3872.44,5869.46,4728.48,0.0670661,998.51
"83","st_all","100",3,0.16,0.0868909,0.2331091,0.149803,4483.54,3556.74,5410.34,4728.48,0.0731091,926.8
"84","st_all","100",4,0.11,0.0476031,0.1723969,0.149803,4775.79,3897.48,5654.11,4728.48,0.0623969,878.315
"85","st_all","100",5,0.17,0.0950908,0.2449092,0.149803,4710.79,3715.57,5706.01,4728.48,0.0749092,995.22
"86","st_all","1000",1,0.145,0.1231396,0.1668604,0.149803,4670.26,4377.3,4963.21,4728.48,0.0218604,292.955
"87","st_all","1000",2,0.151,0.1287703,0.1732297,0.149803,4743.39,4380.49,5106.28,4728.48,0.0222297,362.895
"88","st_all","1000",3,0.152,0.1297099,0.1742901,0.149803,4544.85,4255.94,4833.76,4728.48,0.0222901,288.91
"89","st_all","1000",4,0.164,0.1410112,0.1869888,0.149803,4669.92,4370.58,4969.26,4728.48,0.0229888,299.34
"90","st_all","1000",5,0.132,0.1109846,0.1530154,0.149803,5063.86,4721.98,5405.74,4728.48,0.0210154,341.88
"91","st_all","5000",1,0.1532,0.1432131,0.1631869,0.149803,4749.82,4595.72,4903.92,4728.48,0.00998689999999999,154.1
"92","st_all","5000",2,0.1524,0.1424345,0.1623655,0.149803,4711.91,4571.68,4852.14,4728.48,0.0099655,140.23
"93","st_all","5000",3,0.1592,0.1490555,0.1693445,0.149803,4762.52,4619.4,4905.63,4728.48,0.0101445,143.115
"94","st_all","5000",4,0.1486,0.1387375,0.1584625,0.149803,4834.36,4659.29,5009.43,4728.48,0.0098625,175.07
"95","st_all","5000",5,0.1502,0.1402938,0.1601062,0.149803,4794.55,4632.32,4956.78,4728.48,0.0099062,162.23
"96","st_all","637",1,0.1302983,0.1040862,0.1565103,0.149803,4790.29,4402.38,5178.19,4728.48,0.02621205,387.905
"97","st_all","637",2,0.1632653,0.1344855,0.1920451,0.149803,4751.22,4381.26,5121.19,4728.48,0.0287798,369.965
"98","st_all","637",3,0.144427,0.1170554,0.1717986,0.149803,5085.96,4671.45,5500.48,4728.48,0.0273716,414.515
"99","st_all","637",4,0.1491366,0.121399,0.1768742,0.149803,4612.54,4250.2,4974.88,4728.48,0.0277376,362.34
"100","st_all","637",5,0.1397174,0.1127218,0.166713,0.149803,4511.48,4155.43,4867.52,4728.48,0.0269956,356.045
